"행정구역","2023년12월_계_총인구수","2023년12월_계_연령구간인구수","2023년12월_계_0~9세","2023년12월_계_10~19세","2023년12월_계_20~29세","2023년12월_계_30~39세","2023년12월_계_40~49세","2023년12월_계_50~59세","2023년12월_계_60~69세","2023년12월_계_70~79세","2023년12월_계_80~89세","2023년12월_계_90~99세","2023년12월_계_100세 이상","2023년12월_남_총인구수","2023년12월_남_연령구간인구수","2023년12월_남_0~9세","2023년12월_남_10~19세","2023년12월_남_20~29세","2023년12월_남_30~39세","2023년12월_남_40~49세","2023년12월_남_50~59세","2023년12월_남_60~69세","2023년12월_남_70~79세","2023년12월_남_80~89세","2023년12월_남_90~99세","2023년12월_남_100세 이상","2023년12월_여_총인구수","2023년12월_여_연령구간인구수","2023년12월_여_0~9세","2023년12월_여_10~19세","2023년12월_여_20~29세","2023년12월_여_30~39세","2023년12월_여_40~49세","2023년12월_여_50~59세","2023년12월_여_60~69세","2023년12월_여_70~79세","2023년12월_여_80~89세","2023년12월_여_90~99세","2023년12월_여_100세 이상"
"서울특별시  (1100000000)","9,386,034","9,386,034","513,562","733,211","1,355,811","1,427,405","1,420,073","1,495,557","1,315,938","738,469","339,214","45,346","1,448","4,540,031","4,540,031","263,448","375,346","643,229","713,915","703,001","734,760","622,855","334,075","137,024","12,059","319","4,846,003","4,846,003","250,114","357,865","712,582","713,490","717,072","760,797","693,083","404,394","202,190","33,287","1,129"
"서울특별시 종로구 (1111000000)","139,417","139,417","5,919","9,739","21,496","19,322","19,194","23,915","20,689","11,503","6,644","961","35","67,306","67,306","2,989","4,776","10,174","9,648","9,291","11,854","10,365","5,211","2,674","315","9","72,111","72,111","2,930","4,963","11,322","9,674","9,903","12,061","10,324","6,292","3,970","646","26"
"서울특별시 중구 (1114000000)","121,312","121,312","5,630","6,156","17,537","20,864","16,769","19,068","18,333","10,491","5,561","876","27","58,659","58,659","2,879","3,090","7,979","10,432","8,544","9,529","9,137","4,735","2,101","228","5","62,653","62,653","2,751","3,066","9,558","10,432","8,225","9,539","9,196","5,756","3,460","648","22"
"서울특별시 용산구 (1117000000)","213,151","213,151","11,089","13,620","30,103","37,410","31,288","34,317","29,326","15,622","8,905","1,415","56","102,312","102,312","5,660","6,929","13,849","18,615","15,470","16,765","14,294","6,880","3,409","429","12","110,839","110,839","5,429","6,691","16,254","18,795","15,818","17,552","15,032","8,742","5,496","986","44"
"서울특별시 성동구 (1120000000)","277,361","277,361","16,893","17,851","40,979","45,664","40,926","44,449","38,578","20,407","10,317","1,253","44","134,519","134,519","8,690","8,924","19,821","22,357","20,525","21,870","18,883","9,126","3,976","333","14","142,842","142,842","8,203","8,927","21,158","23,307","20,401","22,579","19,695","11,281","6,341","920","30"
"서울특별시 광진구 (1121500000)","335,554","335,554","15,208","23,804","58,849","54,943","48,103","53,156","45,536","23,571","10,928","1,413","43","161,277","161,277","7,788","12,002","27,297","27,423","23,573","25,844","21,765","10,740","4,442","390","13","174,277","174,277","7,420","11,802","31,552","27,520","24,530","27,312","23,771","12,831","6,486","1,023","30"
"서울특별시 동대문구 (1123000000)","341,149","341,149","18,302","22,607","56,872","49,462","48,695","52,540","48,556","28,348","14,080","1,630","57","167,346","167,346","9,298","11,488","27,005","25,472","25,068","26,513","23,638","12,757","5,654","442","11","173,803","173,803","9,004","11,119","29,867","23,990","23,627","26,027","24,918","15,591","8,426","1,188","46"
"서울특별시 중랑구 (1126000000)","382,155","382,155","19,114","23,960","50,042","57,817","53,139","64,730","63,318","33,269","14,880","1,833","53","187,372","187,372","9,738","12,269","23,994","29,472","27,692","31,934","30,643","15,193","5,996","433","8","194,783","194,783","9,376","11,691","26,048","28,345","25,447","32,796","32,675","18,076","8,884","1,400","45"
"서울특별시 성북구 (1129000000)","425,602","425,602","24,097","35,002","64,693","56,113","63,436","70,949","58,000","33,630","17,411","2,212","59","204,171","204,171","12,368","17,791","30,425","28,099","31,187","34,948","27,235","14,629","6,874","600","15","221,431","221,431","11,729","17,211","34,268","28,014","32,249","36,001","30,765","19,001","10,537","1,612","44"
"서울특별시 강북구 (1130500000)","288,113","288,113","11,575","19,141","38,155","34,997","39,902","50,265","47,856","29,760","14,811","1,604","47","139,514","139,514","5,949","9,756","18,226","18,431","20,593","24,859","22,582","12,750","5,913","442","13","148,599","148,599","5,626","9,385","19,929","16,566","19,309","25,406","25,274","17,010","8,898","1,162","34"
"서울특별시 도봉구 (1132000000)","306,948","306,948","14,242","22,372","37,439","37,607","42,514","54,263","52,978","28,964","14,577","1,934","58","148,796","148,796","7,365","11,583","18,646","19,325","21,327","25,879","24,988","13,311","5,834","523","15","158,152","158,152","6,877","10,789","18,793","18,282","21,187","28,384","27,990","15,653","8,743","1,411","43"
"서울특별시 노원구 (1135000000)","498,213","498,213","26,425","47,172","66,301","61,022","75,401","86,441","73,117","39,713","19,653","2,883","85","239,117","239,117","13,636","24,431","33,591","30,600","35,987","41,670","33,876","17,438","7,146","725","17","259,096","259,096","12,789","22,741","32,710","30,422","39,414","44,771","39,241","22,275","12,507","2,158","68"
"서울특별시 은평구 (1138000000)","466,770","466,770","24,274","35,539","61,795","66,353","70,241","77,837","68,844","39,835","19,745","2,250","57","221,725","221,725","12,382","18,197","28,844","32,388","34,716","37,505","31,838","17,300","7,923","617","15","245,045","245,045","11,892","17,342","32,951","33,965","35,525","40,332","37,006","22,535","11,822","1,633","42"
"서울특별시 서대문구 (1141000000)","306,231","306,231","17,523","22,123","48,432","44,907","44,253","48,893","41,361","23,676","13,291","1,710","62","145,404","145,404","8,953","11,050","22,523","22,050","21,898","23,609","19,493","10,213","5,132","470","13","160,827","160,827","8,570","11,073","25,909","22,857","22,355","25,284","21,868","13,463","8,159","1,240","49"
"서울특별시 마포구 (1144000000)","363,697","363,697","20,628","26,475","58,900","63,807","56,934","56,034","42,357","23,727","12,991","1,794","50","169,990","169,990","10,535","13,232","25,842","30,146","27,547","27,235","19,936","9,938","5,032","538","9","193,707","193,707","10,093","13,243","33,058","33,661","29,387","28,799","22,421","13,789","7,959","1,256","41"
"서울특별시 양천구 (1147000000)","436,028","436,028","25,379","47,734","52,524","53,072","72,533","74,823","62,641","32,411","12,885","1,961","65","212,835","212,835","13,030","24,873","26,412","26,379","34,708","36,952","29,829","15,193","5,005","441","13","223,193","223,193","12,349","22,861","26,112","26,693","37,825","37,871","32,812","17,218","7,880","1,520","52"
"서울특별시 강서구 (1150000000)","563,058","563,058","31,189","41,817","79,178","96,654","86,420","83,179","80,358","43,606","17,853","2,722","82","269,822","269,822","15,874","21,467","35,814","48,196","43,392","40,386","36,969","20,199","6,870","639","16","293,236","293,236","15,315","20,350","43,364","48,458","43,028","42,793","43,389","23,407","10,983","2,083","66"
"서울특별시 구로구 (1153000000)","392,405","392,405","22,434","28,218","50,871","61,099","58,402","61,922","58,661","34,557","14,483","1,709","49","192,341","192,341","11,533","14,361","24,527","31,127","29,840","30,688","27,748","16,060","6,005","443","9","200,064","200,064","10,901","13,857","26,344","29,972","28,562","31,234","30,913","18,497","8,478","1,266","40"
"서울특별시 금천구 (1154500000)","227,481","227,481","9,884","12,927","34,974","37,954","29,544","37,514","36,325","19,085","8,269","973","32","114,414","114,414","5,036","6,533","16,848","20,881","15,815","18,843","17,899","8,899","3,387","265","8","113,067","113,067","4,848","6,394","18,126","17,073","13,729","18,671","18,426","10,186","4,882","708","24"
"서울특별시 영등포구 (1156000000)","374,794","374,794","22,177","22,953","57,013","70,894","53,987","55,375","49,135","27,907","13,528","1,766","59","183,726","183,726","11,331","11,835","25,876","35,882","27,793","27,977","24,102","12,819","5,568","527","16","191,068","191,068","10,846","11,118","31,137","35,012","26,194","27,398","25,033","15,088","7,960","1,239","43"
"서울특별시 동작구 (1159000000)","378,769","378,769","20,071","25,994","63,725","59,866","54,621","57,311","50,582","30,415","14,259","1,870","55","183,153","183,153","10,237","13,308","30,782","30,406","27,344","27,804","23,482","13,298","5,958","519","15","195,616","195,616","9,834","12,686","32,943","29,460","27,277","29,507","27,100","17,117","8,301","1,351","40"
"서울특별시 관악구 (1162000000)","481,956","481,956","16,480","25,079","107,379","88,440","61,705","65,806","60,418","37,814","16,959","1,823","53","242,651","242,651","8,493","12,714","52,059","49,472","33,113","33,668","28,459","16,935","7,245","483","10","239,305","239,305","7,987","12,365","55,320","38,968","28,592","32,138","31,959","20,879","9,714","1,340","43"
"서울특별시 서초구 (1165000000)","407,664","407,664","27,818","44,806","49,898","56,963","72,244","65,208","48,005","29,046","11,852","1,761","63","194,291","194,291","14,264","22,675","23,798","26,370","33,432","32,264","22,356","13,207","5,380","530","15","213,373","213,373","13,554","22,131","26,100","30,593","38,812","32,944","25,649","15,839","6,472","1,231","48"
"서울특별시 강남구 (1168000000)","544,873","544,873","33,005","61,808","67,585","78,771","98,977","85,767","62,810","38,828","14,912","2,321","89","260,520","260,520","17,007","32,263","31,857","36,826","45,417","42,782","29,208","17,810","6,697","637","16","284,353","284,353","15,998","29,545","35,728","41,945","53,560","42,985","33,602","21,018","8,215","1,684","73"
"서울특별시 송파구 (1171000000)","654,166","654,166","43,314","57,453","84,619","104,789","106,463","101,034","89,738","46,676","17,246","2,743","91","314,347","314,347","22,408","29,258","39,820","50,036","51,645","48,647","42,062","22,458","7,341","654","18","339,819","339,819","20,906","28,195","44,799","54,753","54,818","52,387","47,676","24,218","9,905","2,089","73"
"서울특별시 강동구 (1174000000)","459,167","459,167","30,892","38,861","56,452","68,615","74,382","70,761","68,416","35,608","13,174","1,929","77","224,423","224,423","16,005","20,541","27,220","33,882","37,084","34,735","32,068","16,976","5,462","436","14","234,744","234,744","14,887","18,320","29,232","34,733","37,298","36,026","36,348","18,632","7,712","1,493","63"
"부산광역시  (2600000000)","3,293,362","3,293,362","194,403","263,339","377,587","390,659","484,716","541,925","560,720","320,407","141,906","17,268","432","1,605,431","1,605,431","99,689","135,082","193,992","201,309","244,820","264,670","264,259","144,256","53,412","3,880","62","1,687,931","1,687,931","94,714","128,257","183,595","189,350","239,896","277,255","296,461","176,151","88,494","13,388","370"
"부산광역시 중구 (2611000000)","38,619","38,619","875","1,662","5,395","4,259","4,408","6,343","7,761","5,107","2,457","333","19","18,703","18,703","480","813","2,571","2,278","2,362","3,309","3,705","2,202","904","78","1","19,916","19,916","395","849","2,824","1,981","2,046","3,034","4,056","2,905","1,553","255","18"
"부산광역시 서구 (2614000000)","104,089","104,089","4,886","7,001","12,227","10,377","13,487","16,868","19,387","12,627","6,385","828","16","50,028","50,028","2,551","3,577","5,879","5,301","6,864","8,580","9,208","5,556","2,334","172","6","54,061","54,061","2,335","3,424","6,348","5,076","6,623","8,288","10,179","7,071","4,051","656","10"
"부산광역시 동구 (2617000000)","87,792","87,792","3,978","4,658","9,323","10,998","11,404","14,183","16,077","10,899","5,580","679","13","42,736","42,736","2,035","2,387","4,508","5,778","6,164","7,371","7,624","4,731","1,980","155","3","45,056","45,056","1,943","2,271","4,815","5,220","5,240","6,812","8,453","6,168","3,600","524","10"
"부산광역시 영도구 (2620000000)","106,548","106,548","4,329","6,696","9,771","9,664","13,578","17,759","21,996","14,841","7,117","778","19","52,317","52,317","2,199","3,419","5,356","5,233","7,104","9,132","10,585","6,508","2,605","174","2","54,231","54,231","2,130","3,277","4,415","4,431","6,474","8,627","11,411","8,333","4,512","604","17"
"부산광역시 부산진구 (2623000000)","359,508","359,508","19,487","23,904","49,500","50,107","49,677","56,364","59,016","33,830","15,769","1,815","39","172,607","172,607","9,942","12,061","23,481","25,537","25,228","27,427","27,637","14,984","5,866","438","6","186,901","186,901","9,545","11,843","26,019","24,570","24,449","28,937","31,379","18,846","9,903","1,377","33"
"부산광역시 동래구 (2626000000)","270,815","270,815","18,208","25,429","28,476","31,431","43,250","44,031","43,054","25,129","10,530","1,251","26","130,920","130,920","9,346","13,233","14,593","15,798","21,155","21,233","19,732","11,402","4,147","279","2","139,895","139,895","8,862","12,196","13,883","15,633","22,095","22,798","23,322","13,727","6,383","972","24"
"부산광역시 남구 (2629000000)","254,185","254,185","14,089","22,039","32,220","26,563","37,745","41,513","41,036","25,948","11,721","1,283","28","123,851","123,851","7,226","11,360","16,951","13,708","18,862","20,498","18,843","11,455","4,636","306","6","130,334","130,334","6,863","10,679","15,269","12,855","18,883","21,015","22,193","14,493","7,085","977","22"
"부산광역시 북구 (2632000000)","273,596","273,596","15,966","21,311","30,177","32,370","37,049","49,047","51,540","24,512","10,329","1,256","39","134,559","134,559","8,224","11,017","16,097","17,033","18,771","22,923","25,102","11,376","3,770","245","1","139,037","139,037","7,742","10,294","14,080","15,337","18,278","26,124","26,438","13,136","6,559","1,011","38"
"부산광역시 해운대구 (2635000000)","380,448","380,448","23,130","35,520","40,453","41,581","59,413","67,569","61,825","33,516","15,335","2,048","58","182,289","182,289","11,842","18,338","21,029","20,621","28,360","31,970","29,100","14,970","5,576","473","10","198,159","198,159","11,288","17,182","19,424","20,960","31,053","35,599","32,725","18,546","9,759","1,575","48"
"부산광역시 사하구 (2638000000)","297,831","297,831","15,603","23,643","33,827","32,709","42,518","51,362","54,912","29,706","12,058","1,455","38","147,805","147,805","8,076","12,063","18,255","17,413","21,937","25,341","26,199","13,721","4,493","304","3","150,026","150,026","7,527","11,580","15,572","15,296","20,581","26,021","28,713","15,985","7,565","1,151","35"
"부산광역시 금정구 (2641000000)","215,590","215,590","9,865","16,061","28,338","21,876","28,221","36,147","39,634","23,440","10,638","1,337","33","105,149","105,149","5,033","8,214","15,319","11,676","14,137","17,327","18,469","10,528","4,126","313","7","110,441","110,441","4,832","7,847","13,019","10,200","14,084","18,820","21,165","12,912","6,512","1,024","26"
"부산광역시 강서구 (2644000000)","142,396","142,396","17,253","14,979","11,290","23,139","28,830","17,336","17,698","8,168","3,215","481","7","73,821","73,821","8,901","7,638","6,207","11,764","15,813","9,216","8,883","4,129","1,172","96","2","68,575","68,575","8,352","7,341","5,083","11,375","13,017","8,120","8,815","4,039","2,043","385","5"
"부산광역시 연제구 (2647000000)","205,766","205,766","12,623","16,137","23,035","26,074","30,791","33,363","33,804","20,110","8,844","966","19","98,344","98,344","6,394","8,170","11,418","13,123","15,174","15,857","15,465","8,952","3,560","228","3","107,422","107,422","6,229","7,967","11,617","12,951","15,617","17,506","18,339","11,158","5,284","738","16"
"부산광역시 수영구 (2650000000)","174,518","174,518","8,992","11,452","22,253","23,503","24,359","26,824","28,962","18,782","8,290","1,076","25","81,901","81,901","4,541","5,907","10,538","11,816","11,979","12,579","12,675","8,284","3,306","269","7","92,617","92,617","4,451","5,545","11,715","11,687","12,380","14,245","16,287","10,498","4,984","807","18"
"부산광역시 사상구 (2653000000)","202,932","202,932","9,476","13,770","24,928","23,988","26,571","36,351","40,236","19,535","7,281","774","22","101,865","101,865","4,895","7,043","13,071","13,104","13,999","18,098","19,865","9,017","2,621","151","1","101,067","101,067","4,581","6,727","11,857","10,884","12,572","18,253","20,371","10,518","4,660","623","21"
"부산광역시 기장군 (2671000000)","178,729","178,729","15,643","19,077","16,374","22,020","33,415","26,865","23,782","14,257","6,357","908","31","88,536","88,536","8,004","9,842","8,719","11,126","16,911","13,809","11,167","6,441","2,316","199","2","90,193","90,193","7,639","9,235","7,655","10,894","16,504","13,056","12,615","7,816","4,041","709","29"
"대구광역시  (2700000000)","2,374,960","2,374,960","150,403","214,121","282,470","279,965","356,114","420,799","365,980","195,523","96,888","12,432","265","1,166,803","1,166,803","77,161","110,515","148,961","149,088","176,398","205,400","175,097","86,180","35,074","2,897","32","1,208,157","1,208,157","73,242","103,606","133,509","130,877","179,716","215,399","190,883","109,343","61,814","9,535","233"
"대구광역시 중구 (2711000000)","89,064","89,064","6,809","6,234","12,652","14,494","13,017","12,858","11,082","7,379","3,971","550","18","42,629","42,629","3,449","3,104","5,843","7,516","6,587","6,288","5,159","3,031","1,500","149","3","46,435","46,435","3,360","3,130","6,809","6,978","6,430","6,570","5,923","4,348","2,471","401","15"
"대구광역시 동구 (2714000000)","342,813","342,813","22,000","26,211","37,409","43,586","49,884","57,048","55,597","32,881","16,242","1,914","41","167,928","167,928","11,193","13,654","19,555","23,295","25,568","27,932","25,839","14,485","5,939","462","6","174,885","174,885","10,807","12,557","17,854","20,291","24,316","29,116","29,758","18,396","10,303","1,452","35"
"대구광역시 서구 (2717000000)","164,088","164,088","6,786","9,649","17,221","18,434","20,367","30,466","33,052","18,544","8,616","935","18","81,498","81,498","3,556","4,867","9,200","10,555","10,948","15,384","15,683","8,030","3,086","188","1","82,590","82,590","3,230","4,782","8,021","7,879","9,419","15,082","17,369","10,514","5,530","747","17"
"대구광역시 남구 (2720000000)","139,187","139,187","5,657","8,415","18,151","16,292","17,987","23,410","24,255","15,356","8,477","1,163","24","66,512","66,512","2,958","4,348","8,804","8,774","8,988","11,510","11,233","6,478","3,123","295","1","72,675","72,675","2,699","4,067","9,347","7,518","8,999","11,900","13,022","8,878","5,354","868","23"
"대구광역시 북구 (2723000000)","419,624","419,624","26,078","39,089","56,359","48,380","63,256","77,531","61,232","30,718","15,095","1,843","43","208,178","208,178","13,337","20,111","30,266","26,155","31,168","38,186","29,734","13,393","5,420","403","5","211,446","211,446","12,741","18,978","26,093","22,225","32,088","39,345","31,498","17,325","9,675","1,440","38"
"대구광역시 수성구 (2726000000)","407,331","407,331","25,683","47,189","47,229","40,417","65,395","74,903","56,654","31,225","16,234","2,354","48","196,277","196,277","13,303","24,647","25,211","20,320","29,984","35,636","26,849","13,613","6,096","614","4","211,054","211,054","12,380","22,542","22,018","20,097","35,411","39,267","29,805","17,612","10,138","1,740","44"
"대구광역시 달서구 (2729000000)","527,781","527,781","31,787","50,428","66,644","60,116","78,802","98,679","82,299","38,878","17,883","2,222","43","258,933","258,933","16,342","25,877","35,012","32,116","38,512","47,213","39,603","17,408","6,358","485","7","268,848","268,848","15,445","24,551","31,632","28,000","40,290","51,466","42,696","21,470","11,525","1,737","36"
"대구광역시 달성군 (2771000000)","262,084","262,084","25,055","26,034","25,648","37,050","45,599","41,914","35,756","16,493","7,463","1,049","23","132,962","132,962","12,727","13,430","14,355","19,650","23,599","20,965","17,707","7,772","2,540","212","5","129,122","129,122","12,328","12,604","11,293","17,400","22,000","20,949","18,049","8,721","4,923","837","18"
"대구광역시 군위군 (2772000000)","22,988","22,988","548","872","1,157","1,196","1,807","3,990","6,053","4,049","2,907","402","7","11,886","11,886","296","477","715","707","1,044","2,286","3,290","1,970","1,012","89","0","11,102","11,102","252","395","442","489","763","1,704","2,763","2,079","1,895","313","7"
"인천광역시  (2800000000)","2,997,410","2,997,410","202,329","272,079","364,103","413,085","480,780","516,033","441,411","197,825","94,397","14,877","491","1,499,016","1,499,016","103,733","139,614","188,915","215,282","247,250","256,886","218,084","91,836","34,124","3,192","100","1,498,394","1,498,394","98,596","132,465","175,188","197,803","233,530","259,147","223,327","105,989","60,273","11,685","391"
"인천광역시 중구 (2811000000)","158,958","158,958","11,981","14,591","20,495","24,760","27,647","24,194","19,336","10,370","4,776","779","29","82,334","82,334","6,215","7,445","10,386","13,435","14,890","13,320","9,764","4,900","1,805","168","6","76,624","76,624","5,766","7,146","10,109","11,325","12,757","10,874","9,572","5,470","2,971","611","23"
"인천광역시 중구영종출장소 (2811400000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 중구용유출장소 (2811800000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 동구 (2814000000)","59,482","59,482","2,865","4,618","6,049","6,554","8,982","9,886","10,221","6,532","3,277","487","11","29,805","29,805","1,516","2,406","3,203","3,532","4,781","5,200","4,993","2,863","1,214","93","4","29,677","29,677","1,349","2,212","2,846","3,022","4,201","4,686","5,228","3,669","2,063","394","7"
"인천광역시 미추홀구 (2817700000)","405,995","405,995","23,469","31,226","51,874","55,320","62,429","67,640","62,594","33,120","15,970","2,284","69","204,247","204,247","11,946","16,124","27,301","29,795","33,190","34,345","30,030","14,948","6,037","518","13","201,748","201,748","11,523","15,102","24,573","25,525","29,239","33,295","32,564","18,172","9,933","1,766","56"
"인천광역시 연수구 (2818500000)","392,416","392,416","33,651","44,791","47,160","54,305","69,365","66,044","49,069","17,768","8,677","1,534","52","194,599","194,599","17,176","22,872","24,566","27,006","34,094","32,240","24,846","8,379","3,089","323","8","197,817","197,817","16,475","21,919","22,594","27,299","35,271","33,804","24,223","9,389","5,588","1,211","44"
"인천광역시 남동구 (2820000000)","492,415","492,415","29,569","46,160","60,106","61,548","80,158","86,815","75,444","34,768","15,444","2,327","76","244,530","244,530","15,244","23,731","31,079","32,293","40,940","42,816","36,523","15,933","5,474","481","16","247,885","247,885","14,325","22,429","29,027","29,255","39,218","43,999","38,921","18,835","9,970","1,846","60"
"인천광역시 부평구 (2823700000)","494,138","494,138","28,681","39,532","62,183","71,704","73,334","87,268","77,503","34,686","16,619","2,541","87","243,292","243,292","14,659","20,452","31,544","37,383","37,262","42,122","37,485","15,907","5,905","553","20","250,846","250,846","14,022","19,080","30,639","34,321","36,072","45,146","40,018","18,779","10,714","1,988","67"
"인천광역시 계양구 (2824500000)","280,266","280,266","13,795","22,823","36,047","35,759","39,962","55,420","48,770","17,486","8,767","1,392","45","139,459","139,459","6,986","11,613","18,979","18,912","20,274","26,713","24,533","8,207","2,937","295","10","140,807","140,807","6,809","11,210","17,068","16,847","19,688","28,707","24,237","9,279","5,830","1,097","35"
"인천광역시 서구 (2826000000)","624,358","624,358","54,783","62,974","73,193","96,498","109,597","104,249","77,493","30,175","13,160","2,158","78","314,541","314,541","28,164","32,171","37,472","49,202","56,652","52,319","39,184","14,332","4,597","434","14","309,817","309,817","26,619","30,803","35,721","47,296","52,945","51,930","38,309","15,843","8,563","1,724","64"
"인천광역시 서구검단출장소 (2826500000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 강화군 (2871000000)","69,005","69,005","2,837","4,354","4,528","4,877","7,133","11,221","16,174","10,354","6,403","1,098","26","34,566","34,566","1,483","2,238","2,584","2,567","3,795","5,873","8,118","5,066","2,575","260","7","34,439","34,439","1,354","2,116","1,944","2,310","3,338","5,348","8,056","5,288","3,828","838","19"
"인천광역시 옹진군 (2872000000)","20,377","20,377","698","1,010","2,468","1,760","2,173","3,296","4,807","2,566","1,304","277","18","11,643","11,643","344","562","1,801","1,157","1,372","1,938","2,608","1,301","491","67","2","8,734","8,734","354","448","667","603","801","1,358","2,199","1,265","813","210","16"
"광주광역시  (2900000000)","1,419,237","1,419,237","99,779","147,525","190,905","174,075","227,259","240,674","184,732","99,128","48,185","6,768","207","700,896","700,896","51,028","76,188","99,724","89,847","113,235","119,067","88,343","43,912","18,019","1,516","17","718,341","718,341","48,751","71,337","91,181","84,228","114,024","121,607","96,389","55,216","30,166","5,252","190"
"광주광역시 동구 (2911000000)","107,176","107,176","7,453","7,472","14,921","14,352","14,525","15,968","15,720","10,340","5,646","753","26","52,830","52,830","3,876","3,840","7,648","7,366","7,643","7,899","7,433","4,551","2,350","220","4","54,346","54,346","3,577","3,632","7,273","6,986","6,882","8,069","8,287","5,789","3,296","533","22"
